data1,data2,fator
01/1995,01/1996,1.2404916
01/1995,01/1997,1.3569839
01/1995,01/1998,1.4212498999999998
01/1995,01/1999,1.4446373
01/1995,01/2000,1.5725367000000001
01/1995,01/2001,1.6656572
01/1995,01/2002,1.7925758
01/1995,01/2003,2.0519084999999997
01/1995,01/2004,2.2100536
01/1995,01/2005,2.3737836999999997
01/1995,01/2006,2.5090951
01/1995,01/2007,2.5840661000000003
01/1995,01/2008,2.7019339
01/1995,01/2009,2.8597029000000003
01/1995,01/2010,2.9910297
01/1995,01/2011,3.1702871
01/1995,01/2012,3.3674128999999997
01/1995,01/2013,3.5746542
01/1995,01/2014,3.7743091
01/1995,01/2015,4.0437122
01/1995,01/2016,4.476643900000001
